162) Scaler: MaxAbs, classifier: SGD-hu-l2--6, mean: 0.14845246246871416, class wrong: [637, 195, 0, 54]
1354) Scaler: None, classifier: SGD-hu-n--4, mean: 0.15143340968730074, class wrong: [384, 166, 146, 41]
212) Scaler: MaxAbs, classifier: SGD-sei-l2-0, mean: 0.15627361952902405, class wrong: [610, 131, 93, 45]
457) Scaler: MinMax, classifier: SGD-sl-l1--6, mean: 0.16658085153183336, class wrong: [582, 195, 7, 53]
163) Scaler: MaxAbs, classifier: SGD-ei-l2--6, mean: 0.17363082383424594, class wrong: [640, 190, 146, 0]
1346) Scaler: None, classifier: SGD-hu-l2--4, mean: 0.17644469894086068, class wrong: [611, 191, 146, 12]
164) Scaler: MaxAbs, classifier: SGD-sei-l2--6, mean: 0.18210490551049824, class wrong: [640, 128, 40, 54]
153) Scaler: MaxAbs, classifier: SGD-sl-n--4, mean: 0.18705140985703742, class wrong: [640, 29, 146, 45]
464) Scaler: MinMax, classifier: SGD-sei-l2--6, mean: 0.18746853977611017, class wrong: [640, 165, 146, 7]
1425) Scaler: None, classifier: SGD-sl-l2-1, mean: 0.18983548462775107, class wrong: [435, 52, 139, 46]
1448) Scaler: None, classifier: SGD-sei-e-2, mean: 0.19275866023587607, class wrong: [582, 162, 62, 54]
1401) Scaler: None, classifier: SGD-sl-n--1, mean: 0.19388865858653967, class wrong: [596, 138, 3, 54]
1351) Scaler: None, classifier: SGD-ei-e--4, mean: 0.1979719282667875, class wrong: [640, 195, 146, 0]
467) Scaler: MinMax, classifier: SGD-ei-e--6, mean: 0.1988940746888451, class wrong: [622, 195, 116, 25]
441) Scaler: MinMax, classifier: SGD-sl-l1--4, mean: 0.20038870026423655, class wrong: [640, 0, 146, 54]
1372) Scaler: None, classifier: SGD-sei-n--6, mean: 0.20057038465998428, class wrong: [573, 135, 92, 54]
461) Scaler: MinMax, classifier: SGD-sl-l2--6, mean: 0.20357309496555484, class wrong: [418, 180, 68, 54]
459) Scaler: MinMax, classifier: SGD-ei-l1--6, mean: 0.2045678722260417, class wrong: [607, 3, 146, 54]
1417) Scaler: None, classifier: SGD-sl-n-0, mean: 0.20488742416106134, class wrong: [627, 194, 60, 42]
1367) Scaler: None, classifier: SGD-ei-e--6, mean: 0.20550558390648593, class wrong: [640, 36, 146, 54]
1357) Scaler: None, classifier: SGD-sl-l1--6, mean: 0.20687241835190218, class wrong: [536, 72, 132, 50]
1441) Scaler: None, classifier: SGD-sl-l2-2, mean: 0.20735336153570097, class wrong: [614, 109, 137, 21]
752) Scaler: Robust, classifier: SGD-sei-e--4, mean: 0.20921515152152104, class wrong: [499, 163, 102, 39]
817) Scaler: Robust, classifier: SGD-sl-n-0, mean: 0.2095970291496212, class wrong: [531, 158, 134, 14]
488) Scaler: MinMax, classifier: SGD-sei-n--2, mean: 0.21032298790446374, class wrong: [595, 154, 82, 34]
192) Scaler: MaxAbs, classifier: SGD-sei-l1--1, mean: 0.21096740156614163, class wrong: [434, 189, 85, 50]
170) Scaler: MaxAbs, classifier: SGD-hu-n--6, mean: 0.21127531729847943, class wrong: [639, 0, 146, 54]
1358) Scaler: None, classifier: SGD-hu-l1--6, mean: 0.21156276356026954, class wrong: [640, 195, 103, 48]
445) Scaler: MinMax, classifier: SGD-sl-l2--4, mean: 0.2116528721802843, class wrong: [590, 191, 146, 12]
444) Scaler: MinMax, classifier: SGD-sei-l1--4, mean: 0.21213793013543172, class wrong: [547, 195, 9, 54]
1348) Scaler: None, classifier: SGD-sei-l2--4, mean: 0.2129738705818634, class wrong: [640, 106, 97, 54]
177) Scaler: MaxAbs, classifier: SGD-sl-l2--2, mean: 0.2140020775347126, class wrong: [627, 126, 96, 36]
1057) Scaler: Standard, classifier: SGD-sl-l1--6, mean: 0.21421795205776584, class wrong: [531, 154, 131, 47]
1449) Scaler: None, classifier: SGD-sl-n-2, mean: 0.2142825847891122, class wrong: [549, 185, 105, 32]
1362) Scaler: None, classifier: SGD-hu-l2--6, mean: 0.21434924731580537, class wrong: [543, 178, 68, 38]
200) Scaler: MaxAbs, classifier: SGD-sei-e--1, mean: 0.21563172713794967, class wrong: [640, 83, 146, 27]
496) Scaler: MinMax, classifier: SGD-sei-l2--1, mean: 0.2156963046974784, class wrong: [640, 121, 146, 24]
1363) Scaler: None, classifier: SGD-ei-l2--6, mean: 0.21577391580107624, class wrong: [601, 145, 105, 41]
500) Scaler: MinMax, classifier: SGD-sei-e--1, mean: 0.21610981733300255, class wrong: [633, 102, 89, 54]
1360) Scaler: None, classifier: SGD-sei-l1--6, mean: 0.21651323136802714, class wrong: [640, 195, 146, 1]
1397) Scaler: None, classifier: SGD-sl-e--1, mean: 0.21731387926190288, class wrong: [519, 108, 146, 33]
1072) Scaler: Standard, classifier: SGD-sei-n--6, mean: 0.21771226621595224, class wrong: [460, 133, 104, 41]
767) Scaler: Robust, classifier: SGD-ei-e--6, mean: 0.21814163429747707, class wrong: [461, 127, 89, 45]
1404) Scaler: None, classifier: SGD-sei-n--1, mean: 0.21920262601865365, class wrong: [640, 0, 146, 54]
1420) Scaler: None, classifier: SGD-sei-n-0, mean: 0.2193399422545872, class wrong: [600, 195, 137, 5]
809) Scaler: Robust, classifier: SGD-sl-l2-0, mean: 0.22096863464230668, class wrong: [556, 185, 6, 54]
1388) Scaler: None, classifier: SGD-sei-n--2, mean: 0.22130684241401477, class wrong: [0, 195, 146, 54]
180) Scaler: MaxAbs, classifier: SGD-sei-l2--2, mean: 0.22173340793241367, class wrong: [556, 181, 58, 48]
144) Scaler: MaxAbs, classifier: SGD-sei-l1--4, mean: 0.2217894346077566, class wrong: [560, 195, 64, 52]
1381) Scaler: None, classifier: SGD-sl-e--2, mean: 0.22179734299714968, class wrong: [640, 139, 85, 54]
1060) Scaler: Standard, classifier: SGD-sei-l1--6, mean: 0.2219796589667571, class wrong: [494, 181, 123, 41]
1389) Scaler: None, classifier: SGD-sl-l1--1, mean: 0.22213674703262032, class wrong: [502, 181, 146, 16]
1429) Scaler: None, classifier: SGD-sl-e-1, mean: 0.22288484895649852, class wrong: [514, 122, 146, 49]
148) Scaler: MaxAbs, classifier: SGD-sei-l2--4, mean: 0.22294838122137567, class wrong: [639, 195, 0, 54]
1400) Scaler: None, classifier: SGD-sei-e--1, mean: 0.22381899600967503, class wrong: [638, 0, 146, 54]
492) Scaler: MinMax, classifier: SGD-sei-l1--1, mean: 0.2238380245143658, class wrong: [408, 146, 121, 50]
168) Scaler: MaxAbs, classifier: SGD-sei-e--6, mean: 0.22524942299511802, class wrong: [41, 189, 142, 53]
772) Scaler: Robust, classifier: SGD-sei-n--6, mean: 0.2258071427845359, class wrong: [635, 151, 79, 50]
196) Scaler: MaxAbs, classifier: SGD-sei-l2--1, mean: 0.22640604902067502, class wrong: [639, 117, 146, 25]
