1187) Scaler: Standard, classifier: PA-I--3, mean: 0.7541488154131364, class wrong: [0.04203125, 0.13747252747252747, 1.0, 1.0]
356) Scaler: MinMax, classifier: SGD-h-n--2, mean: 0.7533781970221664, class wrong: [0.0415625, 0.16459968602825745, 0.9856956481222626, 0.9614478114478116]
56) Scaler: MaxAbs, classifier: SGD-h-n--2, mean: 0.752027029856551, class wrong: [0.04171875, 0.1784065934065934, 0.9741123846798994, 0.966902356902357]
966) Scaler: Standard, classifier: SGD-h-l2--1, mean: 0.7519264070282023, class wrong: [0.023125, 0.21108320251177393, 1.0, 1.0]
951) Scaler: Standard, classifier: SGD-h-e--2, mean: 0.7508663984322074, class wrong: [0.030468749999999996, 0.20345368916797488, 0.9897865995713353, 0.9890235690235691]
1188) Scaler: Standard, classifier: PA-II--3, mean: 0.7500984781401909, class wrong: [0.039687499999999994, 0.176847200418629, 0.9870561923399498, 0.9981481481481481]
971) Scaler: Standard, classifier: SGD-h-e--1, mean: 0.7499959953045656, class wrong: [0.024062499999999997, 0.21825484039769755, 1.0, 1.0]
952) Scaler: Standard, classifier: SGD-l-e--2, mean: 0.7499040328062632, class wrong: [0.028125, 0.21671899529042388, 0.9870468735439382, 0.9944444444444445]
288) Scaler: MaxAbs, classifier: PA-II--3, mean: 0.7491275465228048, class wrong: [0.0309375, 0.20043171114599687, 1.0, 1.0]
588) Scaler: MinMax, classifier: PA-II--3, mean: 0.7489350546380231, class wrong: [0.036718749999999994, 0.1825222396650968, 1.0, 1.0]
285) Scaler: MaxAbs, classifier: PA-I--2, mean: 0.7488427190958695, class wrong: [0.047499999999999994, 0.1477943485086342, 1.0, 1.0]
1190) Scaler: Standard, classifier: PA-II--4, mean: 0.7484557800800513, class wrong: [0.05531249999999999, 0.1257221350078493, 0.9979545242754636, 1.0]
351) Scaler: MinMax, classifier: SGD-h-e--2, mean: 0.7483600923557356, class wrong: [0.0409375, 0.17182888540031396, 1.0, 1.0]
51) Scaler: MaxAbs, classifier: SGD-h-e--2, mean: 0.7483566499651488, class wrong: [0.03453125, 0.19281004709576138, 1.0, 1.0]
585) Scaler: MinMax, classifier: PA-I--2, mean: 0.7482669178256899, class wrong: [0.05140625, 0.13805337519623234, 1.0, 1.0]
41) Scaler: MaxAbs, classifier: SGD-h-l1--2, mean: 0.7476831124649953, class wrong: [0.033593750000000006, 0.19936944008372579, 1.0, 1.0]
947) Scaler: Standard, classifier: SGD-l-l2--2, mean: 0.7475918002778961, class wrong: [0.0325, 0.22284667713239142, 0.9781940173329605, 0.988956228956229]
46) Scaler: MaxAbs, classifier: SGD-h-l2--2, mean: 0.7469097009159604, class wrong: [0.0371875, 0.19181057038199895, 1.0, 1.0]
57) Scaler: MaxAbs, classifier: SGD-l-n--2, mean: 0.7467188855721867, class wrong: [0.053749999999999985, 0.17276033490319204, 0.9584335103904575, 0.9890572390572391]
357) Scaler: MinMax, classifier: SGD-l-n--2, mean: 0.746716837244836, class wrong: [0.0478125, 0.17329147043432758, 0.9836361942037091, 0.9890235690235689]
352) Scaler: MinMax, classifier: SGD-l-e--2, mean: 0.7467151590876254, class wrong: [0.015625, 0.2632888540031397, 1.0, 1.0]
376) Scaler: MinMax, classifier: SGD-h-n--1, mean: 0.7460446972191502, class wrong: [0.045156249999999995, 0.17940083725798012, 0.9959090485509272, 0.9781818181818182]
347) Scaler: MinMax, classifier: SGD-l-l2--2, mean: 0.7459424918307436, class wrong: [0.018749999999999996, 0.2571794871794872, 1.0, 1.0]
346) Scaler: MinMax, classifier: SGD-h-l2--2, mean: 0.7458520182744018, class wrong: [0.045937500000000006, 0.16879382522239664, 1.0, 1.0]
946) Scaler: Standard, classifier: SGD-h-l2--2, mean: 0.74566222412884, class wrong: [0.039218750000000004, 0.20754055468341184, 0.9843397633025812, 0.9852188552188552]
968) Scaler: Standard, classifier: SGD-mh-l2--1, mean: 0.7456617612373372, class wrong: [0.023281249999999996, 0.26523024594453165, 0.9795545615506477, 0.9780134680134681]
52) Scaler: MaxAbs, classifier: SGD-l-e--2, mean: 0.7455533188644632, class wrong: [0.012031249999999999, 0.28120617477760335, 1.0, 1.0]
973) Scaler: Standard, classifier: SGD-mh-e--1, mean: 0.7454687108639004, class wrong: [0.0184375, 0.2713579277864992, 0.990466871680179, 0.9871717171717173]
1185) Scaler: Standard, classifier: PA-I--2, mean: 0.7453732093022964, class wrong: [0.048125, 0.17890633176347462, 0.9816140154692015, 0.9963299663299665]
942) Scaler: Standard, classifier: SGD-l-l1--2, mean: 0.7450797253188799, class wrong: [0.0203125, 0.2698377812663527, 0.9829559220948652, 0.9981481481481481]
76) Scaler: MaxAbs, classifier: SGD-h-n--1, mean: 0.7445999840958403, class wrong: [0.040781250000000005, 0.19625065410779693, 0.9979545242754636, 0.990909090909091]
43) Scaler: MaxAbs, classifier: SGD-mh-l1--2, mean: 0.743927561775888, class wrong: [0.039999999999999994, 0.22798011512297228, 0.9693830957040351, 0.976026936026936]
341) Scaler: MinMax, classifier: SGD-h-l1--2, mean: 0.7436323105055176, class wrong: [0.035, 0.21625588697017267, 1.0, 1.0]
47) Scaler: MaxAbs, classifier: SGD-l-l2--2, mean: 0.7435297329689551, class wrong: [0.015312500000000001, 0.2812140240711669, 1.0, 1.0]
368) Scaler: MinMax, classifier: SGD-mh-l2--1, mean: 0.7434343255655689, class wrong: [0.022343750000000002, 0.258712715855573, 1.0, 1.0]
53) Scaler: MaxAbs, classifier: SGD-mh-e--2, mean: 0.7429689163464435, class wrong: [0.05296875000000001, 0.18559916274201987, 0.9741310222719225, 0.9817171717171718]
941) Scaler: Standard, classifier: SGD-h-l1--2, mean: 0.7425723953487928, class wrong: [0.02421875, 0.2749607535321821, 0.9836408536017146, 0.9797643097643098]
343) Scaler: MinMax, classifier: SGD-mh-l1--2, mean: 0.7424800562139807, class wrong: [0.04015625, 0.236698063840921, 0.9734693877551021, 0.9595959595959597]
977) Scaler: Standard, classifier: SGD-l-n--1, mean: 0.7417028304911352, class wrong: [0.041874999999999996, 0.2386394557823129, 0.9685956574410586, 0.9596632996632997]
976) Scaler: Standard, classifier: SGD-h-n--1, mean: 0.7417018051601446, class wrong: [0.03937500000000001, 0.25398220826792256, 0.9583822570123941, 0.9614478114478114]
